"Quarter","Beer"
1992 Q1,443
1992 Q2,410
1992 Q3,420
1992 Q4,532
1993 Q1,433
1993 Q2,421
1993 Q3,410
1993 Q4,512
1994 Q1,449
1994 Q2,381
1994 Q3,423
1994 Q4,531
1995 Q1,426
1995 Q2,408
1995 Q3,416
1995 Q4,520
1996 Q1,409
1996 Q2,398
1996 Q3,398
1996 Q4,507
1997 Q1,432
1997 Q2,398
1997 Q3,406
1997 Q4,526
1998 Q1,428
1998 Q2,397
1998 Q3,403
1998 Q4,517
1999 Q1,435
1999 Q2,383
1999 Q3,424
1999 Q4,521
2000 Q1,421
2000 Q2,402
2000 Q3,414
2000 Q4,500
2001 Q1,451
2001 Q2,380
2001 Q3,416
2001 Q4,492
2002 Q1,428
2002 Q2,408
2002 Q3,406
2002 Q4,506
2003 Q1,435
2003 Q2,380
2003 Q3,421
2003 Q4,490
2004 Q1,435
2004 Q2,390
2004 Q3,412
2004 Q4,454
2005 Q1,416
2005 Q2,403
2005 Q3,408
2005 Q4,482
2006 Q1,438
2006 Q2,386
2006 Q3,405
2006 Q4,491
2007 Q1,427
2007 Q2,383
2007 Q3,394
2007 Q4,473
2008 Q1,420
2008 Q2,390
2008 Q3,410
2008 Q4,488
2009 Q1,415
2009 Q2,398
2009 Q3,419
2009 Q4,488
2010 Q1,414
2010 Q2,374
