"Month","Sales ($million)","Log sales","Annual change in log sales","Doubly differenced log sales"
1991 Jul,3.526591,1.26033168195531,NA,NA
1991 Aug,3.180891,1.15716134622581,NA,NA
1991 Sep,3.252221,1.17933814755609,NA,NA
1991 Oct,3.611003,1.28398557308977,NA,NA
1991 Nov,3.565869,1.2714077829277,NA,NA
1991 Dec,4.306371,1.46009555407883,NA,NA
1992 Jan,5.088335,1.62695066506535,NA,NA
1992 Feb,2.81452,1.03479173195461,NA,NA
1992 Mar,2.985811,1.09387140173533,NA,NA
1992 Apr,3.20478,1.1646434452709,NA,NA
1992 May,3.127578,1.14025890309589,NA,NA
1992 Jun,3.270523,1.18494991095823,NA,NA
1992 Jul,3.73785082,1.31851079919472,0.0581791172394055,NA
1992 Aug,3.55877609,1.26941669080909,0.112255344583275,0.05407622734387
1992 Sep,3.77720173,1.3289834524179,0.149645304861804,0.0373899602785284
1992 Oct,3.92449042,1.36723651350646,0.0832509404166863,-0.0663943644451175
1992 Nov,4.38653092,1.47853869146149,0.207130908533796,0.123879968117109
1992 Dec,5.81054917,1.75967508791157,0.299579533832743,0.0924486252989474
1993 Jan,6.19206769,1.82326906807522,0.196318403009866,-0.103261130822877
1993 Feb,3.45085699,1.23862260309493,0.203830871140317,0.00751246813045081
1993 Mar,3.77230686,1.32768671353018,0.23381531179485,0.029984440654534
1993 Apr,3.7343029,1.31756116127248,0.152917716001581,-0.0808975957932696
1993 May,3.90539892,1.36235993428405,0.222101031188153,0.0691833151865724
1993 Jun,4.04968714,1.39863962875184,0.213689717793614,-0.00841131339453893
1993 Jul,4.31556552,1.46222837504407,0.143717575849359,-0.0699721419442552
1993 Aug,4.56218455,1.51780157679232,0.248384885983233,0.104667310133874
1993 Sep,4.60866203,1.52793758277895,0.19895413036105,-0.0494307556221825
1993 Oct,4.66785129,1.54069885659038,0.17346234308392,-0.0254917872771301
1993 Nov,5.09384145,1.62803225122011,0.149493559758617,-0.0239687833253035
1993 Dec,7.1799622,1.97129411842232,0.211619030510746,0.0621254707521297
1994 Jan,6.73147308,1.90679400232049,0.0835249342452689,-0.128094096265478
